Title,Time,Artist,Album,Genre,Heart,Plays
Nina Cried Power (feat. Mavis Staples),3:45,Hozier,Nina Cried Power - EP,Alternative,0,33
Movement,3:58,Hozier,"Wasteland, Baby!",Alternative,0,33
No Plan,5:31,Hozier,"Wasteland, Baby!",Alternative,0,33
Into the Unknown,3:15,Idina Menzel & AURORA,Frozen 2 (Original Motion Picture Soundtrack),Soundtrack,0,33
I’m Trying (Not Friends),2:44,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,33
The Highwayman,4:50,Stevie Nicks,Bella Donna (Deluxe Edition),Rock,0,33
Ghosts,4:54,Stevie Nicks,The Other Side of the Mirror,Rock,0,33
'tis the damn season,3:50,Taylor Swift,evermore (deluxe version),Alternative,0,33
You All Over Me (Taylor’s Version) [From The Vault] [feat. Maren Morris],3:41,Taylor Swift,Fearless (Taylor's Version),Country,0,33
seven,3:29,Taylor Swift,folklore,Alternative,0,33
Ronan (Taylor's Version),4:24,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,33
This Is Why We Can’t Have Nice Things,3:27,Taylor Swift,reputation,Pop,0,33
A Face In the Crowd,3:59,Tom Petty,Full Moon Fever,Rock,0,33
Happier,3:28,Ed Sheeran,÷ (Deluxe),Pop,0,32
Like Real People Do,3:18,Hozier,Hozier (Bonus Track Version),Alternative,0,32
Love Him I Don’t,3:16,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,32
The Dirt Whispered,3:09,Rise Against,Appeal to Reason,Rock,0,32
You Belong With Me (Taylor’s Version),3:51,Taylor Swift,Fearless (Taylor's Version),Country,0,32
betty,4:55,Taylor Swift,folklore,Alternative,0,32
the 1,3:30,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,32
cardigan (the long pond studio sessions),3:51,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,32
hoax (the long pond studio sessions),3:42,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,32
Feel a Whole Lot Better,2:49,Tom Petty,Full Moon Fever,Rock,0,32
Finding Out,3:35,Tom Petty & The Heartbreakers,Long After Dark,Pop,0,32
Hometown Blues,2:12,Tom Petty & The Heartbreakers,Tom Petty & The Heartbreakers,Rock,0,32
Wildflowers,3:43,The Wailin' Jennys,Fifteen,Singer/Songwriter,0,32
Here Comes the Sun,3:18,Colbie Caillat,Imagine That (Soundtrack from the Motion Picture),Soundtrack,0,31
The A Team,4:18,Ed Sheeran,#NAME?,Pop,0,31
2step,2:34,Ed Sheeran,=,Pop,0,31
Love In Slow Motion,3:11,Ed Sheeran,=,Pop,0,31
Sunny Side of Heaven,3:11,Fleetwood Mac,Bare Trees,Pop,0,31
Unwritable Girl,2:59,Gregory Alan Isakov,Gregory Alan Isakov with the Colorado Symphony,Singer/Songwriter,0,31
Seeing Stars,3:00,Meg Hutchinson,Come Up Full,Singer/Songwriter,0,31
The Crossing,3:48,Meg Hutchinson,How Many Miles,Singer/Songwriter,0,31
exile (feat. Bon Iver) [the long pond studio sessions],4:40,Taylor Swift,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],Alternative,0,31
Wildest Dreams (Taylor's Version),3:40,Taylor Swift,Wildest Dreams (Taylor's Version) - Single,Pop,0,31
Century City (Live),4:22,Tom Petty & The Heartbreakers,The Live Anthology,Rock,0,31
Seventeen,3:38,Troye Sivan,Bloom,Pop,0,31
Keep You On My Side,4:26,CHVRCHES,Every Open Eye,Alternative,0,30
Visiting Hours,3:36,Ed Sheeran,=,Pop,0,30
Be Right Now,3:31,Ed Sheeran,=,Pop,0,30
Homeward Bound,3:23,Fleetwood Mac,Bare Trees,Pop,0,30
Sisters of the Moon,4:44,Fleetwood Mac,Tusk (Remastered),Rock,0,30
Got My Mind Set On You,3:55,George Harrison,Cloud Nine,Pop,0,30
Shrike,4:59,Hozier,"Wasteland, Baby!",Alternative,0,30
Hollow,3:36,Maisie Peters,You Signed Up For This (Apple Music Up Next Film Edition),Pop,0,30
The Bones,3:17,Maren Morris & Hozier,The Bones - Single,Pop,0,30
Jump Then Fall (Taylor’s Version),3:58,Taylor Swift,Fearless (Taylor's Version),Country,0,30
State Of Grace (Acoustic Version) (Taylor's Version),5:22,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,30
Babe (Taylor's Version) (From The Vault),3:44,Taylor Swift,Red (Taylor’s Version) (+ A Message From Taylor),Pop,0,30
How You Get the Girl,4:08,Taylor Swift,1989 (Deluxe Edition),Pop,0,30
Yer So Bad,3:06,Tom Petty,Full Moon Fever,Rock,0,30
Learning to Fly,4:02,Tom Petty & The Heartbreakers,Into the Great Wide Open,Rock,0,30
January Hymn,3:12,The Decemberists,The King Is Dead,Adult Alternative,0,29
Photograph,4:19,Ed Sheeran,x (Wembley Edition),Pop,0,29
Pink Lemonade,4:15,James Bay,Electric Light,Alternative,0,29
Wanderlust,4:16,James Bay,Electric Light,Alternative,0,29
Invisible String (Piano Instrumental),4:04,Minnz Piano,"Folklore: Piano Instrumentals, Vol. 1",Pop,0,29
